2012 Domain Star: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Drug Plan Customer Service,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",Member Experience with Drug Plan,Drug Pricing and Patient Safety,,,,,,,,,,,
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
E2332,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
E2868,Employer/Union Only Direct Contract PDP,CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL,Carpenters' District Council of Greater St. Louis,Carpenters H&W Trust Fund of St. Louis,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
E4744,Employer/Union Only Direct Contract PDP,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri  DOT/State Highway Patrol Med & Life Ins,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
E6036,Employer/Union Only Direct Contract PFFS,ASOCIACION DE MAESTROS DE PUERTO RICO,PROSSAM Plus,Asociacion De Maestros De Puerto Rico,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
E6322,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
E7848,Employer/Union Only Direct Contract PDP,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,HealthChoice,Oklahoma State and Educ Employees Group Ins Board,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,3,2,3,2,,,,,,,,,,,
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,3,2,3,2,,,,,,,,,,,
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",5,2,2,3,,,,,,,,,,,
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring, Inc.",4,3,4,1,,,,,,,,,,,
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,2,,,,,,,,,,,
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,4,5,4,3,,,,,,,,,,,
H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,2,3,,,,,,,,,,,
H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",3,3,3,2,,,,,,,,,,,
H0294,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H0302,Local CCP,"BANNER MEDISUN, INC.",Banner MediSun,Banner Health,4,5,5,4,,,,,,,,,,,
H0303,Local CCP,"PACIFICARE OF ARIZONA, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H0307,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,3,2,3,,,,,,,,,,,
H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA,  INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,3,4,,,,,,,,,,,
H0318,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,1,2,4,,,,,,,,,,,
H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H0320,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Desert Canyon Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,3,2,3,,,,,,,,,,,
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",4,4,2,2,,,,,,,,,,,
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"KS Plan Administrators, LLC",4,4,4,4,,,,,,,,,,,
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",Not enough data to calculate stars for this category,2,4,3,,,,,,,,,,,
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA HealthCare of Arizona,CIGNA,3,4,4,4,,,,,,,,,,,
H0401,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,3,2,2,3,,,,,,,,,,,
H0490,Local CCP,MOLINA HEALTHCARE OF OHIO,Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,3,4,4,4,,,,,,,,,,,
H0523,Local CCP,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,3,3,,,,,,,,,,,
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",4,5,5,5,,,,,,,,,,,
H0543,Local CCP,UNITEDHEALTHCARE OF CALIFORNIA,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,4,,,,,,,,,,,
H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",4,5,4,3,,,,,,,,,,,
H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,4,5,5,3,,,,,,,,,,,
H0562,Local CCP,HEALTH NET OF CALIFORNIA,Health Net of California,"Health Net, Inc.",2,3,4,4,,,,,,,,,,,
H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",2,3,3,3,,,,,,,,,,,
H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,3,5,2,4,,,,,,,,,,,
H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",Not enough data to calculate stars for this category,5,4,4,,,,,,,,,,,
H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,4,4,2,3,,,,,,,,,,,
H0623,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,3,4,,,,,,,,,,,
H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,3,,,,,,,,,,,
H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",3,5,5,5,,,,,,,,,,,
H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,2,3,,,,,,,,,,,
H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",4,3,2,3,,,,,,,,,,,
H0752,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,4,,,,,,,,,,,
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,3,4,,,,,,,,,,,
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",4,3,3,3,,,,,,,,,,,
H0901,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",5,3,2,3,,,,,,,,,,,
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America¿s 1st Choice Insurance Company of NC, Inc.",5,3,4,3,,,,,,,,,,,
H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Care Inc.,5,2,4,3,,,,,,,,,,,
H1016,Local CCP,"AVMED, INC",AvMed Medicare,"AvMed, Inc.",5,4,4,2,,,,,,,,,,,
H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,4,3,4,3,,,,,,,,,,,
H1026,Local CCP,"HEALTH OPTIONS, INC","Health Options, Inc / Blue Cross Blue Shield of FL",Blue Cross and Blue Shield of Florida,3,3,2,3,,,,,,,,,,,
H1032,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",4,3,3,3,,,,,,,,,,,
H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,4,5,5,4,,,,,,,,,,,
H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,4,4,4,3,,,,,,,,,,,
H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.",Preferred Care Partners Holding Corp,4,3,5,3,,,,,,,,,,,
H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care Inc.,4,2,4,3,,,,,,,,,,,
H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,3,,,,,,,,,,,
H1099,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Medicare Plans,Health First,4,5,4,3,,,,,,,,,,,
H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,2,,,,,,,,,,,
H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,2,3,,,,,,,,,,,
H1110,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H1111,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,2,,,,,,,,,,,
H1112,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",4,2,2,3,,,,,,,,,,,
H1170,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",3,4,5,4,,,,,,,,,,,
H1216,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",4,2,2,2,,,,,,,,,,,
H1230,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",4,5,5,5,,,,,,,,,,,
H1251,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,2,4,4,4,,,,,,,,,,,
H1264,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",4,2,2,3,,,,,,,,,,,
H1286,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,,,,,,,,,,,
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H1302,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3,5,4,4,,,,,,,,,,,
H1303,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,,,,,,,,,,,
H1304,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,The Regence Group,4,4,4,3,,,,,,,,,,,
H1350,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3,4,5,3,,,,,,,,,,,
H1355,Local CCP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,"HealthSpring, Inc.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H1365,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,5,Not enough data to calculate stars for this category,5,,,,,,,,,,,
H1406,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,4,4,3,,,,,,,,,,,
H1415,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.","HealthSpring, Inc.",3,3,3,3,,,,,,,,,,,
H1416,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",5,3,3,3,,,,,,,,,,,
H1417,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4,4,5,4,,,,,,,,,,,
H1418,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,2,3,3,,,,,,,,,,,
H1419,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H1463,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4,5,5,4,,,,,,,,,,,
H1468,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,4,4,3,4,,,,,,,,,,,
H1509,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H1510,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,4,4,3,,,,,,,,,,,
H1517,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,2,4,3,,,,,,,,,,,
H1537,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H1595,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H1607,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,2,4,3,,,,,,,,,,,
H1608,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,5,3,4,4,,,,,,,,,,,
H1609,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care Inc.,4,2,3,4,,,,,,,,,,,
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H1681,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,4,3,,,,,,,,,,,
H1716,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,2,4,4,,,,,,,,,,,
H1717,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,2,,,,,,,,,,,
H1777,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage,HMO SNP","Catholic Health Care System, Inc.",Not enough data to calculate stars for this category,5,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H1804,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,5,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H1806,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,3,3,,,,,,,,,,,
H1837,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,4,2,4,4,,,,,,,,,,,
H1846,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H1849,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,4,3,2,,,,,,,,,,,
H1903,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",4,2,3,2,,,,,,,,,,,
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LA, INC.","Humana Health Benefit Plan of LA, Inc.",Humana Inc.,4,3,4,3,,,,,,,,,,,
H1944,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,4,5,,,,,,,,,,,
H1951,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,3,5,4,3,,,,,,,,,,,
H1961,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"New Orleans Reg Physician Hosp Organization, Inc.",4,4,4,3,,,,,,,,,,,
H2001,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,4,,,,,,,,,,,
H2012,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,3,3,3,,,,,,,,,,,
