2012 Domain Star: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
H8091,Local CCP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H8098,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H8145,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H8189,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",Advantage by Managed Health Services,Centene Corporation,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H8393,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,5,2,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H8552,Local CCP,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,Anthem Blue Cross,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H8558,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H8578,Local CCP,"HEALTH NEW ENGLAND, INC.","Health New England, Inc.","Baystate Health, Inc.",4,4,4,4,,,,,,,,,,,
H8604,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H8644,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,3,3,,,,,,,,,,,
H8649,Local CCP,"ALTIUS HEALTH PLANS, INC. (UTAH)",Altius Health Plans,Coventry Health Care Inc.,4,3,2,3,,,,,,,,,,,
H8684,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H8707,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,4,3,,,,,,,,,,,
H8748,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,2,,,,,,,,,,,
H8822,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,5,3,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H8953,Local CCP,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Inc.,3,3,3,4,,,,,,,,,,,
H8980,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,HealthAmerica,Coventry Health Care Inc.,4,3,4,3,,,,,,,,,,,
H8991,Local CCP,"AMERIGROUP FLORIDA, INC.",Amerigroup Community Care,AMERIGROUP Corporation,3,2,3,2,,,,,,,,,,,
H9001,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Fallon Community Health Plan,3,4,4,4,,,,,,,,,,,
H9003,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",4,5,5,5,,,,,,,,,,,
H9011,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,1,4,3,,,,,,,,,,,
H9047,Local CCP,PROVIDENCE HEALTH PLAN,Providence Health Plans,Providence Health & Services,5,4,5,4,,,,,,,,,,,
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H9104,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,3,4,4,3,,,,,,,,,,,
H9184,Local CCP,"BRAVO HEALTH MID-ATLANTIC, INC.",Bravo Health,"HealthSpring, Inc.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H9285,Local CCP,ATLANTIS HEALTH PLAN,EASY CHOICE HEALTH PLAN OF NEW YORK,"Atlantis Health Systems, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H9302,Local CCP,"SOUNDPATH HEALTH, INC.",Soundpath Health,"Puget Sound Health Partners, Inc.",4,2,3,4,,,,,,,,,,,
H9385,Local CCP,SCAN HEALTH PLAN OF ARIZONA,SCAN Health Plan Arizona,SCAN Health Plan,4,4,3,3,,,,,,,,,,,
H9503,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,2,3,,,,,,,,,,,
H9572,Local CCP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,3,4,3,4,,,,,,,,,,,
H9615,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,4,4,4,,,,,,,,,,,
H9670,Local CCP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,University of Pittsburgh Medical Center,Not enough data to calculate stars for this category,5,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H9720,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.",5,4,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H9847,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,5,2,5,3,,,,,,,,,,,
H9859,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",3,5,4,4,,,,,,,,,,,
H9947,Local CCP,BLUE CROSS BLUE SHIELD OF GEORGIA,Blue Cross Blue Shield of Georgia,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H9988,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,,,,,,,,,,,
R3175,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,2,3,,,,,,,,,,,
R3332,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FL, INC.","Blue Cross and Blue Shield of Florida, Inc.",Blue Cross and Blue Shield of Florida,3,2,2,4,,,,,,,,,,,
R3444,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,XLHealth Corporation,3,3,4,3,,,,,,,,,,,
R5287,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,3,,,,,,,,,,,
R5342,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,3,,,,,,,,,,,
R5566,Regional CCP,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",MedicareBlue PPO,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",3,4,3,4,,,,,,,,,,,
R5674,Regional CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",4,3,2,3,,,,,,,,,,,
R5826,Regional CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
R5941,Regional CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,3,3,,,,,,,,,,,
R6801,Regional CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,3,3,3,2,,,,,,,,,,,
R7439,Regional CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
R7444,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,3,,,,,,,,,,,
R9896,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,Care Improvement Plus,XLHealth Corporation,3,3,3,2,,,,,,,,,,,
S0043,PDP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.","Aveta, LLC.",3,2,2,2,,,,,,,,,,,
S0197,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,5,2,3,4,,,,,,,,,,,
S0223,PDP,"HEALTH FIRST HEALTH PLANS, INC",Health First Medicare Prescription Drug Plan,Health First,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
S0586,PDP,"MVP HEALTH PLAN, INC.",MVP Health Care,"MVP Health Care, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
S0655,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",2,3,Not enough data to calculate stars for this category,4,,,,,,,,,,,
S1030,PDP,BCBS OF ALABAMA AND BCBS OF TENNESSEE,BlueRx,BCBS OF AL & BCBS OF TN,3,3,4,3,,,,,,,,,,,
S1480,PDP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Prescription Drug Plan,Aultman Health Foundation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
S1822,PDP,"HEALTHPARTNERS, INC.",HealthPartners National PDP,"HealthPartners, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
S2321,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,AmeriHealth Rx,Independence Blue Cross,4,3,2,3,,,,,,,,,,,
S2468,PDP,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,Blue Shield of California,California Physicians' Service,3,4,5,4,,,,,,,,,,,
S2505,PDP,"WINDSOR HEALTH PLAN, INC",Windsor Rx,Munich American Holding Corporation,5,4,4,2,,,,,,,,,,,
S2874,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
S2893,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,3,3,3,4,,,,,,,,,,,
S3389,PDP,"UPMC HEALTH BENEFITS, INC",UPMC Health Plan,University of Pittsburgh Medical Center,4,3,4,3,,,,,,,,,,,
S3440,PDP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare Rx,Health Alliance Plan (HAP),4,2,2,3,,,,,,,,,,,
S3521,PDP,"EXCELLUS HEALTH PLAN, INC",Simply Prescriptions,"Lifetime Healthcare, Inc.",5,4,5,4,,,,,,,,,,,
S3994,PDP,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's Medicare Rx Plan,Hawaii Medical Service Association,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,5,,,,,,,,,,,
S4219,PDP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medicare Prescription Plan,Health Alliance Medical Plans,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
S4802,PDP,STERLING LIFE INSURANCE COMPANY,Windsor Rx,Munich American Holding Corporation,3,3,4,3,,,,,,,,,,,
S5540,PDP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,5,5,3,,,,,,,,,,,
S5552,PDP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,3,3,3,4,,,,,,,,,,,
S5555,PDP,"MCS ADVANTAGE, INC.",MCS Classicare,"Medical Card System, Inc.",4,3,2,2,,,,,,,,,,,
S5569,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,5,2,2,4,,,,,,,,,,,
S5580,PDP,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,First United American Life Insurance Company,Torchmark Corporation,2,3,3,4,,,,,,,,,,,
S5584,PDP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,2,3,4,4,,,,,,,,,,,
S5588,PDP,PARAMOUNT INSURANCE COMPANY,Paramount Prescription Drug Plan,Promedica Health System,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,,,,,,,,,,,
S5593,PDP,HIGHMARK SENIOR RESOURCES INC.,Highmark Senior Resources Inc.,Highmark Inc.,4,4,5,4,,,,,,,,,,,
S5596,PDP,"ANTHEM INSURANCE COMPANIES, INC.",Blue MedicareRx,"WellPoint, Inc.",2,2,2,3,,,,,,,,,,,
S5601,PDP,SILVERSCRIPT INSURANCE COMPANY,SilverScript Insurance Company,CVS Caremark Corporation,3,3,2,3,,,,,,,,,,,
S5609,PDP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,The Regence Group,3,4,4,4,,,,,,,,,,,
S5617,PDP,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,CIGNA Medicare Rx,CIGNA,3,3,2,3,,,,,,,,,,,
S5660,PDP,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Medco Medicare Prescription Plan,"Medco Health Solutions, Inc.",4,3,5,4,,,,,,,,,,,
S5670,PDP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,4,2,5,3,,,,,,,,,,,
S5674,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3,2,4,3,,,,,,,,,,,
S5678,PDP,HEALTH NET LIFE INSURANCE COMPANY,Health Net,"Health Net, Inc.",4,4,3,3,,,,,,,,,,,
S5715,PDP,HCSC INSURANCE SERVICES COMPANY,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",Health Care Service Corporation,3,4,3,4,,,,,,,,,,,
S5726,PDP,BLUE CROSS BLUE SHIELD OF KANSAS,Blue MedicareRx,Blue Cross Blue Shield of Kansas,3,4,3,3,,,,,,,,,,,
S5743,PDP,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",4,4,4,5,,,,,,,,,,,
S5753,PDP,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,WPS Health Insurance,Wisconsin Physicians Service Ins Corporation.,3,4,4,5,,,,,,,,,,,
S5755,PDP,UNITED AMERICAN INSURANCE COMPANY,United American Insurance Company,Torchmark Corporation,3,3,3,3,,,,,,,,,,,
S5766,PDP,"FIRST CARE, INC.",Medi-CareFirst BlueCross BlueShield,"CareFirst, Inc.",4,4,3,4,,,,,,,,,,,
S5768,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,4,2,2,3,,,,,,,,,,,
S5775,PDP,PHARMACY INSURANCE CORPORATION OF AMERICA,PICA,Pharmacy Insurance Corporation of America,3,2,4,3,,,,,,,,,,,
S5795,PDP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,4,4,4,2,,,,,,,,,,,
S5803,PDP,PENNSYLVANIA LIFE INSURANCE COMPANY,Community CCRx PDP,CVS Caremark Corporation,3,3,4,3,,,,,,,,,,,
S5805,PDP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,4,,,,,,,,,,,
S5810,PDP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,2,3,3,,,,,,,,,,,
S5820,PDP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,3,,,,,,,,,,,
S5825,PDP,SILVERSCRIPT INSURANCE COMPANY,Community CCRx PDP,CVS Caremark Corporation,4,4,4,4,,,,,,,,,,,
S5840,PDP,"FIRST MEDICAL HEALTH PLAN, INC","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
S5857,PDP,PRIORITY HEALTH INSURANCE COMPANY,Priority Health Medicare,Spectrum Health System,3,3,4,3,,,,,,,,,,,
S5877,PDP,EDUCATORS MUTUAL INSURANCE ASSOCIATION,EMI Health,Educators Mutual Insurance Association,2,4,5,4,,,,,,,,,,,
S5884,PDP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,2,4,4,3,,,,,,,,,,,
S5904,PDP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Blue Cross and Blue Shield of Florida, Inc.",Blue Cross and Blue Shield of Florida,2,3,4,4,,,,,,,,,,,
S5907,PDP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,2,4,1,2,,,,,,,,,,,
S5916,PDP,REGENCE LIFE AND HEALTH INSURANCE COMPANY,Regence Life and Health,The Regence Group,3,5,4,3,,,,,,,,,,,
S5921,PDP,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
S5932,PDP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Prescription Drug Plan,"HealthSpring, Inc.",3,4,4,2,,,,,,,,,,,
S5937,PDP,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,Blue Cross and Blue Shield of Louisiana,BlueCross BlueShield of Louisiana,3,4,4,2,,,,,,,,,,,
S5953,PDP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),2,3,3,2,,,,,,,,,,,
S5960,PDP,UNICARE LIFE AND HEALTH INSURANCE COMPANY,UniCare,"WellPoint, Inc.",3,2,2,2,,,,,,,,,,,
S5966,PDP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PDP,"EmblemHealth, Inc.",3,1,4,4,,,,,,,,,,,
S5967,PDP,"WELLCARE PRESCRIPTION INSURANCE, INC.",WellCare,"WellCare Health Plans, Inc.",5,4,4,3,,,,,,,,,,,
S5975,PDP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,5,,,,,,,,,,,
S5983,PDP,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,Medco Medicare Prescription Plan,"Medco Health Solutions, Inc.",5,4,3,3,,,,,,,,,,,
S5993,PDP,HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",2,4,3,4,,,,,,,,,,,
S5998,PDP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,"HealthSpring, Inc.",3,4,2,3,,,,,,,,,,,
S6506,PDP,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross and Blue Shield of Arizona,Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
S6875,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,Select Option,Independence Blue Cross,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,3,,,,,,,,,,,
S7694,PDP,ENVISION INSURANCE COMPANY,EnvisionRx Plus,Envision Insurance Company,4,2,2,3,,,,,,,,,,,
S7950,PDP,EXPRESS SCRIPTS INSURANCE CO.,SAMAscript,"Express Scripts, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
S8067,PDP,AVALON INSURANCE COMPANY,Avalon Insurance Company,Capital BlueCross,5,4,3,4,,,,,,,,,,,
S8841,PDP,"NMHC GROUP SOLUTION INSURANCE, INC.",NMHC Group Solutions,"SXC Health Solutions, Corp.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,,,,,,,,,,,
S9579,PDP,STONEBRIDGE LIFE INSURANCE COMPANY,Medicare GenerationRx (Employer PDP),Aegon N.V.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
MA-PD Average,,, , ,4,3,4,3,,,,,,,,,,,
PDP Average,,, , ,3,3,3,3,,,,,,,,,,,
Overall Average,,, , ,4,3,4,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Star Rating Legend,,,,,,,,,,,,,,,,,,
,5 = Excellent,,,,,,,,,,,,,,,,,,
,4 = Above Average,,,,,,,,,,,,,,,,,,
,3 = Average,,,,,,,,,,,,,,,,,,
,2 = Below Average,,,,,,,,,,,,,,,,,,
,1 = Poor,,,,,,,,,,,,,,,,,,
